City,Latitude,Longitude,Solar_Irradiance_kWh/m²/day,Wind_Speed_m/s,PV_Power_kW,Wind_Power_kW,System_Efficiency_%,Hydrogen_Production_kg/day,Feasibility_Score,Latitude_Band
City 1297,-38.23,111.03,4.99,4.95,856.43,2406.81,79.66,51.25,2.82,Subtropical
City 1298,-46.41,116.5,3.67,8.16,637.18,10690.77,73.41,154.82,3.52,Temperate
City 1299,22.74,-41.54,5.45,8.14,951.7,9763.56,79.9,168.18,3.86,Tropical
City 1300,31.84,-14.72,5.15,8.79,897.18,13569.66,72.53,200.74,3.95,Subtropical
City 1301,-55.89,-70.82,3.44,8.91,590.18,13737.9,74.72,199.13,3.76,Temperate
City 1302,61.71,155.72,2.82,10.72,505.45,22543.26,73.54,315.1,4.28,Polar
City 1303,-53.24,-137.29,3.17,7.26,562.82,6905.16,73.56,102.85,3.15,Temperate
City 1304,10.37,156.15,6.12,6.8,1069.49,5756.26,78.42,103.02,3.51,Equatorial
City 1305,32.18,66.19,5.18,7.02,915.21,6816.41,77.46,110.57,3.43,Subtropical
City 1306,53.23,11.37,3.55,8.63,635.53,11608.03,79.92,194.15,3.75,Temperate
City 1307,32.83,-168.24,4.57,6.38,783.66,4792.93,76.14,81.31,3.13,Subtropical
City 1308,44.22,-8.79,4.45,8.27,766.84,11018.56,74.63,174.51,3.7,Subtropical
City 1309,-15.87,-33.21,5.82,4.47,1021.77,1709.43,70.9,35.04,2.71,Tropical
City 1310,45.93,-121.96,3.36,10.24,597.92,20996.48,79.97,322.66,4.31,Temperate
City 1311,-49.59,56.31,3.15,7.97,536.57,9869.31,75.52,141.8,3.4,Temperate
City 1312,56.33,169.61,2.57,13.62,461.79,45683.87,77.0,658.97,5.5,Temperate
City 1313,11.19,22.39,6.08,8.78,1061.38,13399.12,74.07,211.25,4.11,Equatorial
City 1314,46.25,77.31,4.38,6.4,760.24,4828.59,75.48,76.24,3.09,Temperate
City 1315,-1.2,-155.36,6.51,4.29,1126.37,1512.9,79.43,39.56,2.86,Equatorial
City 1316,23.67,-29.64,5.44,4.74,933.89,2053.99,71.66,39.05,2.74,Tropical
City 1317,8.43,-138.11,6.08,4.03,1081.98,1197.17,72.92,31.3,2.65,Equatorial
City 1318,35.11,40.61,4.41,12.52,792.26,39126.36,71.52,561.8,5.29,Subtropical
City 1319,-49.39,157.85,2.79,8.17,485.46,10348.06,77.92,162.47,3.46,Temperate
City 1320,-52.15,58.24,3.24,10.12,581.47,18752.97,70.62,265.89,4.09,Temperate
City 1321,-27.88,-152.35,4.95,8.14,882.6,10723.18,70.82,153.68,3.67,Tropical
City 1322,-39.26,-52.32,4.52,5.42,790.49,3060.0,72.98,55.89,2.81,Subtropical
City 1323,53.33,18.24,3.38,7.2,597.1,7226.68,75.14,114.16,3.2,Temperate
City 1324,-31.5,-34.85,4.2,4.14,731.51,1347.04,74.06,29.01,2.42,Subtropical
City 1325,66.86,120.11,2.86,8.47,502.48,11957.66,70.45,165.49,3.47,Polar
City 1326,-16.2,113.28,5.97,1.0,1018.52,18.07,79.57,16.36,1.92,Tropical
City 1327,-36.32,40.26,4.56,8.99,806.32,13485.94,79.53,217.7,4.01,Subtropical
City 1328,42.66,-45.56,4.01,13.4,683.67,45585.89,72.79,653.85,5.6,Subtropical
City 1329,25.63,-88.08,4.95,6.93,881.39,6048.82,77.32,100.91,3.36,Tropical
City 1330,4.77,-141.89,6.78,1.0,1207.7,19.41,75.79,17.16,2.0,Equatorial
City 1331,12.2,-52.24,6.38,3.61,1100.41,885.91,72.37,27.96,2.58,Equatorial
City 1332,33.5,-31.26,3.78,6.2,655.15,4425.07,72.62,70.89,2.92,Subtropical
City 1333,-30.3,63.3,4.61,4.49,805.81,1625.74,74.91,34.61,2.58,Subtropical
City 1334,69.52,56.94,2.01,13.1,352.97,43730.13,74.19,629.53,5.22,Polar
City 1335,66.72,-154.76,2.46,12.7,424.83,40267.42,72.91,546.41,5.05,Polar
City 1336,24.54,-37.71,5.88,3.57,1034.21,851.78,78.08,28.84,2.55,Tropical
City 1337,-34.06,-114.56,4.23,9.22,731.69,14985.86,74.81,233.96,4.0,Subtropical
City 1338,28.43,-123.55,4.76,10.66,812.0,22356.01,76.55,350.83,4.62,Tropical
City 1339,-50.61,117.83,3.2,13.82,544.21,50771.79,71.89,687.78,5.63,Temperate
City 1340,-56.02,-164.91,2.68,16.76,458.0,84924.56,75.34,1210.05,7.09,Temperate
City 1341,-26.5,-29.09,4.97,4.4,884.51,1611.21,73.18,35.83,2.59,Tropical
City 1342,0.14,-119.45,7.38,11.07,1324.75,26199.1,75.26,397.54,5.15,Equatorial
City 1343,52.88,136.56,2.77,8.4,483.04,11765.62,77.81,181.99,3.54,Temperate
City 1344,34.53,20.53,4.8,5.97,840.03,3996.33,77.69,74.6,3.06,Subtropical
City 1345,36.55,-96.7,3.59,8.47,615.64,11879.6,73.54,175.26,3.62,Subtropical
City 1346,-4.69,0.87,6.39,3.01,1121.74,525.27,76.94,24.12,2.47,Equatorial
City 1347,-15.03,83.34,5.78,6.5,991.52,5453.56,79.41,92.56,3.38,Tropical
City 1348,-11.76,164.92,7.01,1.88,1235.23,124.16,76.26,18.8,2.26,Equatorial
City 1349,68.39,-100.64,2.07,10.24,372.11,20027.63,71.48,262.7,3.95,Polar
City 1350,-54.79,139.03,2.06,12.69,354.98,40433.93,76.8,621.06,5.14,Temperate
City 1351,52.71,156.35,2.31,9.13,410.46,13768.2,71.05,189.56,3.6,Temperate
City 1352,15.23,149.91,5.95,5.88,1013.08,3708.69,78.72,70.39,3.21,Tropical
City 1353,-2.98,48.75,7.1,5.49,1233.36,2999.39,75.17,62.65,3.23,Equatorial
City 1354,34.28,46.74,4.79,10.36,819.24,21858.13,73.85,321.86,4.48,Subtropical
City 1355,3.27,-34.84,6.86,1.0,1189.53,18.02,70.57,16.38,1.96,Equatorial
City 1356,53.55,90.86,3.83,10.82,658.26,24954.98,73.81,351.49,4.5,Temperate
City 1357,57.09,11.27,2.73,9.04,474.95,13958.83,79.03,224.36,3.77,Temperate
City 1358,-5.18,63.88,7.09,4.93,1234.05,2163.33,70.21,43.73,3.01,Equatorial
City 1359,-24.01,-25.76,4.5,9.05,779.07,13942.48,74.75,199.24,3.94,Tropical
City 1360,17.01,83.34,5.36,2.72,945.89,367.74,79.31,19.15,2.27,Tropical
City 1361,58.61,116.81,1.99,7.33,357.3,7578.06,73.95,108.77,3.02,Temperate
City 1362,-32.61,-127.28,4.58,2.42,796.88,275.32,74.28,14.79,2.02,Subtropical
City 1363,20.99,119.85,5.51,4.73,946.93,2002.5,75.79,43.23,2.79,Tropical
City 1364,22.1,14.51,5.51,9.54,951.59,15680.93,74.63,228.84,4.25,Tropical
City 1365,35.3,124.08,4.56,7.23,814.07,7295.72,71.69,112.51,3.34,Subtropical
City 1366,-42.9,-24.73,3.53,4.94,620.89,2371.99,70.19,38.19,2.5,Subtropical
City 1367,33.06,-43.55,4.59,6.09,801.34,4394.3,76.1,72.33,3.05,Subtropical
City 1368,58.17,149.42,2.18,6.1,373.7,4457.53,79.21,72.78,2.73,Temperate
City 1369,-36.64,-89.58,5.12,4.85,892.86,2100.76,71.06,42.22,2.72,Subtropical
City 1370,-29.12,123.92,4.81,7.88,831.07,9692.03,72.11,149.63,3.6,Tropical
City 1371,66.28,-5.75,2.12,7.69,379.65,8490.08,73.7,130.34,3.15,Polar
City 1372,-36.47,5.07,5.24,10.43,937.37,20447.14,78.09,322.3,4.61,Subtropical
City 1373,51.07,-68.95,2.8,8.93,479.03,14015.65,72.69,203.9,3.66,Temperate
City 1374,4.0,26.3,6.16,4.61,1078.58,1952.61,78.82,45.99,2.89,Equatorial
City 1375,-27.86,-62.92,4.5,6.09,775.42,4361.87,70.55,69.75,2.97,Tropical
City 1376,53.2,-165.86,3.24,11.25,564.5,26301.06,79.41,390.29,4.64,Temperate
City 1377,-2.11,-82.08,7.07,6.17,1263.55,4343.94,75.61,80.92,3.43,Equatorial
City 1378,6.93,-177.7,6.88,5.53,1206.77,3202.29,76.59,63.39,3.22,Equatorial
City 1379,-13.3,172.21,7.36,6.74,1274.94,6066.31,73.68,102.15,3.62,Equatorial
City 1380,17.08,167.67,4.68,5.18,805.23,2540.7,77.82,49.6,2.81,Tropical
City 1381,-38.74,-37.74,4.59,9.23,817.47,15451.4,71.67,212.86,3.99,Subtropical
City 1382,-9.16,82.21,6.08,4.07,1071.62,1253.97,70.49,30.69,2.64,Equatorial
City 1383,66.02,-55.51,2.09,10.61,364.23,23416.9,73.96,318.8,4.15,Polar
City 1384,-26.44,61.59,4.84,5.96,833.18,4195.46,78.54,78.83,3.08,Tropical
City 1385,25.38,109.95,4.77,5.39,826.72,2959.97,77.55,53.55,2.88,Tropical
City 1386,-17.73,160.83,6.6,4.05,1185.62,1244.01,75.17,33.82,2.76,Tropical
City 1387,40.55,-35.92,4.58,9.22,802.87,15387.41,75.72,242.52,4.07,Subtropical
City 1388,-42.99,101.99,4.0,11.58,696.47,29558.34,71.3,409.11,4.77,Subtropical
City 1389,66.08,-84.27,3.05,13.54,534.43,48030.92,78.41,695.74,5.62,Polar
City 1390,-1.01,176.52,6.17,1.0,1097.54,19.25,77.87,16.32,1.93,Equatorial
City 1391,-29.31,-170.72,4.28,10.15,742.63,19166.59,76.56,277.91,4.32,Tropical
City 1392,-50.45,37.27,2.38,8.25,408.83,11052.57,74.66,157.46,3.38,Temperate
City 1393,-37.93,57.42,4.0,9.29,702.53,14769.43,79.64,223.09,4.02,Subtropical
City 1394,7.57,67.7,6.55,2.49,1157.23,307.24,78.79,21.78,2.38,Equatorial
City 1395,-16.19,-136.66,5.92,5.97,1048.27,3944.34,76.44,74.86,3.21,Tropical
City 1396,47.75,157.87,3.73,9.56,667.33,17008.32,73.72,249.81,4.02,Temperate
City 1397,-3.98,-114.77,6.02,1.0,1044.97,18.57,76.18,15.57,1.89,Equatorial
City 1398,-27.67,44.19,5.46,8.29,933.15,10607.06,75.75,160.87,3.84,Tropical
City 1399,20.23,-99.84,5.7,9.39,1024.31,15404.96,73.94,227.02,4.23,Tropical
City 1400,31.88,-69.4,5.13,6.75,895.26,5999.82,73.07,99.2,3.3,Subtropical
City 1401,-38.28,16.73,3.37,11.23,594.56,27061.51,74.07,372.33,4.57,Subtropical
City 1402,-38.21,-29.81,4.48,7.35,791.64,7837.84,75.74,128.86,3.42,Subtropical
City 1403,-55.23,-122.32,2.54,11.65,445.65,29412.05,74.28,420.67,4.63,Temperate
City 1404,35.73,-118.46,4.3,2.03,739.84,161.39,72.64,12.88,1.87,Subtropical
City 1405,26.29,-29.47,5.43,12.68,963.49,39733.25,77.61,588.61,5.58,Tropical
City 1406,1.7,92.62,6.93,7.91,1233.16,9054.43,75.31,144.72,3.93,Equatorial
City 1407,49.74,143.27,3.09,8.26,542.79,10605.8,70.68,153.67,3.44,Temperate
City 1408,44.74,-149.71,3.87,3.54,677.08,843.84,73.68,21.93,2.21,Subtropical
City 1409,16.1,-38.48,5.11,6.33,874.1,4745.16,78.85,81.79,3.22,Tropical
City 1410,52.88,-143.91,3.87,5.68,661.81,3412.44,77.55,63.02,2.84,Temperate
City 1411,-33.24,-174.03,4.57,8.44,792.51,11631.44,73.23,165.31,3.74,Subtropical
City 1412,-45.45,58.22,4.38,9.57,757.82,16174.87,79.38,243.79,4.17,Temperate
City 1413,-24.93,36.88,4.99,4.14,896.15,1377.66,70.77,30.88,2.5,Tropical
City 1414,-52.58,-121.31,3.06,12.06,543.77,34855.63,79.61,548.02,5.05,Temperate
City 1415,9.05,-95.83,5.98,6.92,1056.82,6336.95,72.46,106.73,3.46,Equatorial
City 1416,61.76,-171.47,3.11,12.62,545.67,38594.43,70.09,516.02,5.05,Polar
City 1417,-54.89,120.58,2.8,9.51,481.25,15603.45,74.34,215.83,3.84,Temperate
City 1418,-44.13,170.89,4.23,4.87,761.12,2284.0,73.59,43.04,2.62,Subtropical
City 1419,-1.21,-131.23,6.72,6.57,1168.26,5257.19,75.39,90.0,3.49,Equatorial
City 1420,61.4,-96.67,1.71,9.46,293.17,16302.99,77.97,244.12,3.75,Polar
City 1421,-18.9,132.63,5.39,2.42,943.24,281.29,78.42,18.22,2.18,Tropical
City 1422,5.94,153.53,5.99,7.97,1071.48,9730.86,74.01,144.94,3.8,Equatorial
City 1423,-54.6,-28.93,3.2,14.71,571.55,61883.35,74.3,880.36,6.16,Temperate
City 1424,-40.72,-161.78,3.55,7.97,604.69,9557.91,71.48,136.95,3.41,Subtropical
City 1425,68.26,-165.82,2.68,16.22,480.19,77383.63,70.48,1065.95,6.7,Polar
City 1426,65.47,26.62,2.37,10.77,409.66,24512.12,76.41,367.37,4.33,Polar
City 1427,-59.36,-38.56,2.76,8.98,469.62,13105.7,70.64,176.18,3.6,Temperate
City 1428,63.74,-169.69,2.87,8.8,511.6,13209.77,77.34,195.39,3.67,Polar
City 1429,23.09,29.97,5.87,10.4,1047.89,20306.53,75.39,297.87,4.63,Tropical
City 1430,52.83,-175.93,3.29,7.33,579.25,7776.4,71.99,110.42,3.18,Temperate
City 1431,-0.88,103.45,6.55,5.93,1151.57,3812.59,75.4,72.29,3.28,Equatorial
City 1432,7.03,-69.68,5.62,3.3,1001.29,686.84,71.83,24.24,2.38,Equatorial
City 1433,3.55,-165.51,6.41,3.2,1139.83,631.46,74.39,25.44,2.5,Equatorial
City 1434,26.69,31.81,4.82,9.24,862.83,14945.46,78.0,236.9,4.13,Tropical
City 1435,-41.85,-36.83,4.12,7.23,723.94,7073.39,74.62,109.5,3.3,Subtropical
City 1436,-56.1,170.57,2.9,8.6,521.1,12037.21,71.49,167.21,3.52,Temperate
City 1437,-19.97,15.91,5.95,8.83,1070.07,12816.48,77.24,212.61,4.14,Tropical
City 1438,31.61,-80.91,4.48,11.15,766.98,26196.76,71.87,386.36,4.71,Subtropical
City 1439,-33.76,75.4,4.61,8.99,822.57,13589.11,77.39,211.83,3.99,Subtropical
City 1440,27.55,-82.26,5.66,5.12,991.15,2564.45,74.79,49.41,2.91,Tropical
City 1441,66.09,145.53,2.54,9.33,442.46,15016.73,74.54,225.16,3.77,Polar
City 1442,-47.79,-45.1,3.62,8.98,638.38,14462.14,78.51,216.55,3.86,Temperate
City 1443,27.44,17.95,4.78,7.55,814.99,8165.26,77.09,135.21,3.54,Tropical
City 1444,-2.31,-161.79,6.52,1.76,1141.69,100.52,70.33,17.16,2.1,Equatorial
City 1445,52.86,-26.6,2.87,11.09,513.72,25876.36,72.96,351.39,4.43,Temperate
City 1446,-36.97,119.65,4.14,7.91,712.91,9769.14,78.71,164.62,3.6,Subtropical
City 1447,30.04,110.03,5.27,2.71,919.23,361.05,70.18,17.94,2.16,Subtropical
City 1448,48.95,-99.25,3.46,6.57,621.1,5498.1,75.45,91.76,3.03,Temperate
City 1449,62.8,-98.61,1.93,9.02,336.22,14012.38,77.28,210.59,3.61,Polar
City 1450,28.82,114.23,5.87,6.7,1018.33,5515.93,76.22,92.1,3.41,Tropical
City 1451,4.63,154.94,6.84,9.19,1192.18,15222.14,77.61,244.12,4.4,Equatorial
City 1452,20.32,-145.67,4.87,6.63,853.92,5454.51,77.26,91.82,3.26,Tropical
City 1453,52.96,-17.98,3.07,7.19,541.66,6919.98,76.92,105.68,3.16,Temperate
City 1454,14.18,-58.52,6.06,5.97,1079.24,4181.34,78.22,77.55,3.25,Equatorial
City 1455,-56.05,133.45,3.93,8.72,685.66,12802.64,76.46,199.32,3.8,Temperate
City 1456,61.02,-149.93,2.17,10.91,387.41,25737.59,74.02,350.84,4.29,Polar
City 1457,29.64,-103.99,5.41,8.42,949.16,11477.7,74.72,173.33,3.88,Tropical
City 1458,27.95,90.89,5.74,9.82,995.83,18435.78,77.17,270.44,4.44,Tropical
City 1459,-31.96,-161.53,4.45,7.14,785.48,7147.31,78.76,121.83,3.38,Subtropical
City 1460,25.66,-2.69,5.07,10.66,897.47,21955.0,72.72,320.43,4.58,Tropical
City 1461,-8.8,-20.84,5.87,7.15,1029.96,7146.26,73.42,108.81,3.52,Equatorial
City 1462,24.66,-59.62,5.17,4.7,882.18,1992.97,79.31,45.44,2.77,Tropical
City 1463,-46.14,-37.95,3.75,14.14,644.16,51270.0,75.79,709.96,5.86,Temperate
City 1464,25.52,10.78,5.54,7.37,958.2,7611.24,71.79,117.99,3.52,Tropical
City 1465,69.92,-121.91,2.65,8.9,458.06,12825.43,76.64,199.05,3.66,Polar
City 1466,-53.73,25.92,2.86,13.51,506.29,47967.02,79.91,758.25,5.69,Temperate
City 1467,67.03,109.96,1.5,15.9,255.28,76714.57,78.23,1088.04,6.56,Polar
City 1468,-7.1,93.66,6.49,4.63,1152.74,1972.81,77.46,47.97,2.93,Equatorial
City 1469,53.2,-124.6,3.42,8.06,590.98,9619.1,72.08,145.99,3.44,Temperate
City 1470,41.71,-126.27,4.21,7.74,727.89,8908.6,78.76,145.14,3.53,Subtropical
City 1471,13.71,-83.46,5.88,7.16,1030.08,6756.89,75.26,111.14,3.54,Equatorial
City 1472,36.0,-50.01,4.54,10.79,782.03,24184.79,78.89,356.31,4.66,Subtropical
City 1473,54.21,-32.96,3.96,10.85,708.8,24816.13,73.3,357.8,4.53,Temperate
City 1474,-7.46,64.69,6.67,5.0,1139.35,2431.28,70.62,47.45,2.98,Equatorial
City 1475,-17.49,-159.6,5.59,9.49,975.02,16796.4,74.76,259.68,4.3,Tropical
City 1476,26.79,-167.52,4.87,5.9,870.12,4040.48,72.7,67.14,3.0,Tropical
City 1477,45.02,-38.91,3.76,11.08,663.0,24690.04,77.15,378.83,4.63,Temperate
City 1478,39.1,70.98,5.08,7.19,878.72,6944.39,79.57,113.31,3.48,Subtropical
City 1479,43.72,-110.36,3.85,9.45,670.39,16345.6,76.91,239.05,4.03,Subtropical
City 1480,-3.37,50.94,6.75,4.05,1195.89,1265.27,78.87,35.48,2.82,Equatorial
City 1481,46.32,-86.46,3.52,8.49,632.04,11257.46,74.53,160.31,3.6,Temperate
City 1482,-44.37,138.99,4.44,7.49,795.06,8040.18,77.72,131.03,3.48,Subtropical
City 1483,10.78,142.45,7.23,8.44,1253.0,11313.7,78.43,193.06,4.21,Equatorial
City 1484,-59.25,-72.98,3.08,8.09,553.93,9953.99,77.11,155.74,3.46,Temperate
City 1485,-17.8,-97.2,5.8,3.93,985.37,1190.7,75.08,31.29,2.61,Tropical
City 1486,-12.36,-31.93,6.15,10.54,1047.74,22021.31,76.26,340.61,4.77,Equatorial
City 1487,-8.5,-93.41,5.21,7.29,929.16,7006.66,77.01,114.15,3.5,Equatorial
City 1488,30.41,62.06,5.24,1.08,901.91,22.71,72.53,12.56,1.76,Subtropical
City 1489,-9.49,117.38,6.4,3.54,1092.39,871.22,78.1,28.57,2.62,Equatorial
City 1490,-1.67,62.31,7.1,1.0,1223.37,19.92,79.5,19.2,2.09,Equatorial
City 1491,-29.12,116.77,4.61,4.54,802.63,1807.47,74.65,35.7,2.59,Tropical
City 1492,-11.48,-37.08,6.0,1.0,1064.61,18.73,77.01,15.04,1.9,Equatorial
City 1493,-30.45,-123.73,4.66,6.7,821.76,5986.42,77.37,101.1,3.26,Subtropical
City 1494,-50.48,85.66,3.98,6.19,685.52,4591.58,76.62,80.4,3.0,Temperate
City 1495,18.45,-50.23,5.52,5.99,966.05,4241.27,75.47,75.53,3.15,Tropical
City 1496,26.87,61.66,6.16,2.62,1104.36,352.87,78.82,22.47,2.36,Tropical
City 1497,20.53,-82.57,5.78,6.26,1029.36,4603.12,74.49,81.17,3.25,Tropical
City 1498,0.25,-150.76,6.34,2.99,1099.05,505.8,70.61,21.52,2.39,Equatorial
City 1499,-10.63,177.33,6.19,8.82,1113.42,12595.74,78.45,209.03,4.18,Equatorial
City 1500,52.23,-123.77,3.02,12.75,534.42,38534.27,76.74,589.08,5.24,Temperate
City 1501,7.48,175.83,5.38,6.71,917.82,5911.94,78.49,98.9,3.38,Equatorial
City 1502,2.29,171.82,7.5,3.41,1277.64,786.58,71.39,27.51,2.68,Equatorial
City 1503,-56.67,105.77,3.38,14.63,581.14,60902.87,70.31,797.44,6.01,Temperate
City 1504,-15.64,57.39,6.17,1.68,1094.16,89.95,79.34,17.76,2.12,Tropical
City 1505,-10.57,28.01,6.34,1.55,1089.88,67.49,71.48,16.35,2.03,Equatorial
City 1506,-8.15,131.8,5.74,4.61,1004.86,1769.86,78.1,40.5,2.81,Equatorial
City 1507,15.42,-75.8,5.68,11.18,970.66,26180.92,78.23,398.25,4.97,Tropical
City 1508,9.37,-11.63,6.77,4.43,1212.37,1646.64,77.09,43.46,2.91,Equatorial
City 1509,19.03,42.98,5.14,5.44,891.91,3101.87,71.31,54.2,2.89,Tropical
City 1510,39.43,-31.97,2.97,4.34,532.53,1471.18,76.67,29.3,2.32,Subtropical
City 1511,45.69,-26.1,3.69,10.93,661.86,26114.25,78.89,416.6,4.66,Temperate
City 1512,33.36,-61.1,4.59,9.72,781.3,17190.63,74.26,253.3,4.2,Subtropical
City 1513,64.22,23.12,2.57,12.39,449.27,37503.24,74.14,544.8,5.0,Polar
City 1514,-57.63,126.21,3.33,8.19,566.95,10475.84,74.43,149.35,3.49,Temperate
City 1515,-34.55,-107.45,4.9,5.69,877.59,3360.68,70.82,55.1,2.91,Subtropical
City 1516,-59.02,156.4,3.0,6.67,525.24,5811.74,78.92,94.07,3.02,Temperate
City 1517,24.17,68.07,5.91,6.63,1008.4,5651.5,78.69,99.52,3.43,Tropical
City 1518,56.74,116.38,2.27,6.97,388.14,6461.54,79.98,109.19,3.03,Temperate
City 1519,-28.35,20.23,5.27,3.89,915.76,1121.15,75.85,30.81,2.53,Tropical
City 1520,60.51,100.63,3.08,8.99,552.07,13215.22,77.51,210.25,3.77,Polar
City 1521,-52.17,-174.17,2.73,7.99,482.78,9864.0,72.03,138.85,3.31,Temperate
City 1522,61.48,114.62,1.95,8.8,347.56,13521.01,76.68,211.91,3.55,Polar
City 1523,-14.29,-165.55,5.63,6.6,977.17,5216.71,76.5,91.82,3.35,Equatorial
City 1524,-46.82,140.37,3.39,8.88,578.13,12969.39,79.01,201.09,3.79,Temperate
City 1525,3.16,177.11,7.16,3.6,1286.11,920.88,78.31,33.53,2.75,Equatorial
City 1526,-26.62,-74.14,4.83,7.12,821.83,6700.67,79.38,107.69,3.42,Tropical
City 1527,-22.97,-104.29,4.96,3.82,890.95,1074.45,78.69,28.29,2.49,Tropical
City 1528,-20.05,95.53,5.29,6.27,918.89,4696.97,78.69,86.87,3.24,Tropical
City 1529,44.39,-88.91,4.45,8.82,757.25,13150.03,70.64,189.51,3.82,Subtropical
City 1530,10.09,131.6,6.3,1.25,1114.44,36.91,78.46,16.92,2.02,Equatorial
City 1531,-19.53,-142.98,5.54,8.44,996.71,11191.41,76.07,176.18,3.92,Tropical
City 1532,19.34,-134.66,5.59,3.73,1004.45,939.72,73.8,28.43,2.51,Tropical
City 1533,33.1,172.49,5.33,7.54,914.52,8339.81,70.57,125.79,3.53,Subtropical
City 1534,-24.56,62.58,4.91,9.37,842.96,16019.56,76.78,243.35,4.16,Tropical
City 1535,-6.24,124.88,7.22,6.94,1268.42,6459.55,73.28,103.3,3.65,Equatorial
City 1536,-44.15,-63.24,4.01,8.5,708.03,11850.29,74.68,174.32,3.7,Subtropical
City 1537,-36.45,63.53,4.37,6.74,774.9,5657.52,76.82,98.61,3.22,Subtropical
City 1538,28.55,33.93,6.25,9.22,1074.21,14158.27,79.12,227.47,4.32,Tropical
City 1539,-36.41,37.13,3.92,9.33,704.58,15922.57,78.25,246.49,4.03,Subtropical
City 1540,8.27,65.71,6.24,3.28,1101.39,670.58,74.51,25.08,2.49,Equatorial
City 1541,32.18,27.13,4.13,5.23,737.34,2663.35,73.88,49.66,2.71,Subtropical
City 1542,-46.11,-25.54,4.25,3.43,745.24,734.41,72.4,20.58,2.22,Temperate
City 1543,13.75,-80.67,6.88,5.76,1198.46,3464.08,73.72,66.64,3.26,Equatorial
City 1544,-26.65,96.69,5.97,6.46,1073.18,5035.83,71.11,81.58,3.3,Tropical
City 1545,65.18,-98.54,3.05,13.36,536.14,46745.71,79.71,680.59,5.56,Polar
City 1546,2.86,69.25,6.7,5.18,1197.25,2763.21,75.74,59.58,3.1,Equatorial
City 1547,44.78,-96.0,3.68,11.81,661.19,32632.91,71.28,472.21,4.88,Subtropical
City 1548,11.53,45.12,5.36,3.41,946.93,786.37,73.53,25.36,2.39,Equatorial
City 1549,-54.36,88.95,4.21,12.28,739.34,36703.42,75.47,561.98,5.25,Temperate
City 1550,22.31,-101.26,5.67,4.91,964.58,2253.67,75.33,47.59,2.86,Tropical
City 1551,63.68,-158.42,2.3,12.31,391.28,34414.7,70.36,474.31,4.8,Polar
City 1552,18.21,-132.85,6.39,2.17,1099.02,201.36,79.51,20.36,2.28,Tropical
City 1553,46.49,38.16,3.26,9.24,560.09,14524.42,72.75,210.72,3.81,Temperate
City 1554,54.95,125.8,3.36,4.53,579.25,1726.34,70.16,29.55,2.36,Temperate
City 1555,-30.35,-163.8,4.79,6.37,828.77,4766.66,70.76,74.37,3.09,Subtropical
City 1556,-32.43,84.29,5.05,8.34,876.5,11056.25,75.8,180.39,3.83,Subtropical
City 1557,19.43,-57.13,5.61,4.64,976.99,1862.85,71.38,37.91,2.73,Tropical
City 1558,-6.57,-7.73,5.81,2.03,994.28,153.28,70.42,15.95,2.07,Equatorial
City 1559,49.18,154.39,3.6,11.03,612.68,25394.91,73.8,349.05,4.52,Temperate
City 1560,57.0,-60.49,3.53,9.44,624.64,16621.18,76.23,245.42,3.99,Temperate
City 1561,-14.06,-12.48,6.0,4.18,1052.51,1399.56,71.12,32.61,2.66,Equatorial
City 1562,-29.21,-175.07,5.34,7.03,932.05,6850.64,73.13,103.04,3.4,Tropical
City 1563,41.47,-150.62,3.57,14.74,630.33,58882.09,74.18,805.12,6.11,Subtropical
City 1564,-24.28,-86.91,5.29,9.31,942.66,14800.76,71.59,207.24,4.1,Tropical
City 1565,46.94,-169.97,3.4,11.6,592.88,29896.21,75.06,450.28,4.79,Temperate
City 1566,-4.91,47.3,7.03,5.58,1240.08,3288.81,70.85,58.17,3.19,Equatorial
City 1567,26.78,-26.5,5.14,7.09,923.0,6898.5,70.47,102.5,3.36,Tropical
City 1568,-47.58,17.33,4.01,2.77,716.16,415.37,75.2,15.33,2.04,Temperate
City 1569,21.1,-117.13,6.07,4.41,1057.19,1675.76,72.48,38.41,2.75,Tropical
City 1570,-1.27,-73.46,7.26,2.93,1280.46,497.91,70.95,24.28,2.51,Equatorial
City 1571,16.26,58.98,6.0,1.0,1030.35,18.8,74.24,15.02,1.87,Tropical
City 1572,-38.16,167.51,3.83,4.92,672.54,2195.92,79.15,42.57,2.63,Subtropical
City 1573,35.79,-161.85,4.49,2.63,807.91,346.41,77.24,16.42,2.1,Subtropical
City 1574,52.16,140.54,3.08,9.12,539.91,13824.43,78.16,218.25,3.82,Temperate
City 1575,-31.82,27.68,4.6,9.23,824.73,14604.88,78.72,238.33,4.1,Subtropical
City 1576,-47.56,23.01,3.48,11.52,606.43,28173.89,79.73,419.38,4.79,Temperate
City 1577,-56.93,0.1,2.53,10.73,454.5,23214.37,77.63,348.64,4.33,Temperate
City 1578,23.46,-155.02,4.38,3.94,769.86,1112.11,76.08,26.49,2.41,Tropical
City 1579,18.92,-147.64,5.34,1.06,910.29,21.64,73.65,12.59,1.78,Tropical
City 1580,11.07,36.33,6.32,1.0,1111.79,19.31,71.82,15.81,1.89,Equatorial
City 1581,-29.85,-57.25,4.24,3.81,731.86,1064.88,76.87,26.35,2.37,Tropical
City 1582,-9.18,150.22,6.37,2.7,1084.13,380.51,79.95,21.58,2.41,Equatorial
